City,Country,PM2.5,PM10,NO2,O3,SO2,CO,NH3,MortalityRate_per_100k,CountryName,Continent
abbeville,FR,4.7,8.8,4.7,36.8,0.8,210.3,1.3,4.1,France,Europe
acarau,BR,2.1,9.6,0.2,52.2,0.1,353.8,0.1,9.6,Brazil,South America
agbor,NG,29.9,39.2,5.7,2.5,0.4,894.6,0.6,29.6,Nigeria,Africa
al jawf,SA,11.1,39.2,1.0,101.6,1.7,193.6,0.5,33.5,Saudi Arabia,Asia
al qusayr,SY,7.9,10.0,4.7,40.8,2.5,210.3,2.7,26.6,Syrian Arab Republic,Asia
alaghsas,NE,63.9,271.8,0.0,53.6,0.0,196.9,0.0,34.1,Niger,Africa
albany,US,2.1,2.6,12.8,24.7,0.1,253.7,0.1,5.7,United States,North America
alice springs,AU,14.5,61.3,0.1,50.1,0.0,283.7,0.2,3.2,Australia,Oceania
aliveri,GR,1.1,4.3,0.4,78.0,0.2,200.3,0.2,9.8,Greece,Europe
alliance,US,13.4,16.2,21.9,24.3,0.5,367.2,0.6,5.7,United States,North America
almeirim,BR,1.0,2.4,0.1,26.8,0.1,343.8,0.0,9.6,Brazil,South America
alotau,PG,1.6,2.1,0.1,34.7,0.1,207.0,0.0,12.4,Papua New Guinea,Oceania
alta,NO,0.5,0.5,0.4,41.5,0.0,210.3,0.0,3.6,Norway,Europe
amahai,ID,0.9,1.1,0.6,24.0,0.1,283.7,0.0,20.4,Indonesia,Asia
ambikapur,IN,31.6,34.0,0.7,107.3,1.2,454.0,0.7,30.2,India,Asia
ambon,ID,1.1,1.8,0.5,28.2,0.3,270.4,0.1,20.4,Indonesia,Asia
amos,CA,2.7,2.8,1.3,62.2,0.7,212.0,0.0,3.4,Canada,North America
anadyr,RU,0.7,2.1,0.7,60.8,0.4,223.6,0.0,17.4,Russian Federation,Europe
ancud,CL,0.6,1.1,0.2,49.4,0.0,240.3,0.2,7.4,Chile,South America
angra do heroismo,PT,2.2,10.6,0.3,100.1,0.2,201.9,0.0,4.7,Portugal,Europe
argo,GR,2.5,4.3,0.7,66.5,0.1,205.3,0.3,9.8,Greece,Europe
arkalyk,KZ,8.1,8.5,2.7,24.3,1.2,233.6,0.0,30.5,Kazakhstan,Asia
arraial do cabo,BR,9.1,18.8,5.6,41.5,0.5,270.4,1.2,9.6,Brazil,South America
ataq,YE,42.1,165.7,1.0,55.8,1.1,203.6,0.2,36.5,Yemen,Asia
aykhal,RU,0.5,0.5,0.0,57.2,0.0,223.6,0.0,17.4,Russian Federation,Europe
badger,US,0.5,0.6,5.1,51.5,1.1,257.0,0.2,5.7,United States,North America
balabac,PH,0.8,1.3,0.3,47.9,0.1,393.9,0.0,29.4,Philippines,Asia
ballina,AU,2.6,6.3,0.8,66.5,1.1,230.3,0.7,3.2,Australia,Oceania
bam,IR,18.9,52.6,25.4,66.5,3.1,327.1,0.8,17.1,"Iran, Islamic Republic of",Asia
bamboo flat,IN,0.6,0.9,1.2,44.4,0.2,230.3,0.0,30.2,India,Asia
banjarmasin,ID,9.0,10.5,1.4,72.2,5.0,514.0,1.3,20.4,Indonesia,Asia
barclayville,LR,2.4,3.2,0.3,8.3,0.1,300.4,0.5,22.4,Liberia,Africa
bathurst,AU,2.0,2.1,0.1,32.5,0.2,250.3,0.1,3.2,Australia,Oceania
