City,Country,PM2.5,PM10,NO2,O3,SO2,CO,NH3
port douglas,AU,2.61,6.42,0.04,46.49,0.14,223.64,0.0
haiku-pauwela,US,2.25,7.11,0.24,61.51,0.09,190.26,0.01
talitsa,RU,10.73,14.27,11.48,28.97,5.54,287.06,0.14
san antonio de pale,GQ,1.9,5.16,0.04,25.75,0.09,373.84,0.0
almeirim,BR,0.95,2.4,0.12,26.82,0.13,343.8,0.04
xai-xai,MZ,1.68,4.74,0.35,52.21,0.19,233.65,0.49
laguna,US,1.99,2.1,1.74,85.83,0.12,220.3,0.31
whitehorse,CA,0.5,0.53,0.44,62.94,0.06,220.3,0.03
markovo,RU,0.5,0.52,0.19,60.8,0.18,226.97,0.03
port elizabeth,ZA,1.03,1.96,0.56,58.65,0.79,226.97,0.31
kismayo,SO,1.6,7.15,0.13,32.9,0.17,236.99,0.23
formosa,AR,8.2,8.37,0.89,35.41,0.35,527.38,0.49
elverum,NO,4.16,4.22,0.73,36.48,0.04,198.6,0.1
zag,MN,0.64,2.03,0.17,70.1,0.39,173.57,0.13
yetkul',RU,9.85,12.52,20.91,9.66,7.75,390.53,2.47
prado,BR,1.65,6.47,0.49,32.9,0.06,290.39,0.17
okha,RU,7.66,8.16,0.25,76.53,0.71,283.72,1.39
san felipe,VE,38.08,39.03,16.62,30.04,8.11,754.36,0.91
beeville,US,4.22,7.11,0.74,90.84,0.6,216.96,0.67
kamaishi,JP,3.43,7.23,1.14,75.82,1.52,203.61,0.36
vorkuta,RU,0.5,0.81,1.18,53.64,0.36,230.31,0.03
savanna-la-mar,JM,7.3,8.57,9.77,15.91,3.13,614.17,2.5
plastun,RU,8.13,12.27,0.45,83.69,0.69,230.31,0.0
castillos,UY,2.37,3.42,1.63,19.31,0.08,240.33,3.14
fada,NG,96.32,128.2,12.17,0.01,4.95,2082.82,9.63
saldanha,ZA,0.9,4.02,0.34,62.94,0.51,230.31,0.03
salinopolis,BR,2.03,9.24,0.04,46.49,0.1,420.57,0.07
mossoro,BR,1.33,4.66,0.3,39.34,0.09,263.69,0.12
isangel,VU,4.43,5.81,0.02,60.8,21.7,226.97,0.0
