City,Country,PM2.5,PM10,NO2,O3,SO2,CO,NH3
karratha,AU,2.48,12.03,0.14,55.79,0.68,226.97,0.24
hobyo,SO,2.43,12.24,0.04,35.05,0.13,216.96,0.03
nuuk,GL,1.65,9.93,0.15,70.1,0.08,213.62,0.0
soe,ID,3.41,5.6,1.05,52.21,0.34,310.42,1.39
porto san giorgio,IT,12.61,15.08,3.64,8.76,0.3,287.06,5.0
lapy,PL,1.2,1.45,1.33,52.21,0.56,220.3,0.75
pyhajarvi,FI,3.03,3.58,0.71,69.38,0.48,220.3,0.04
kibre mengist,ET,6.85,12.69,2.16,16.99,0.47,257.02,8.87
hermanus,ZA,0.54,1.58,0.34,53.64,0.29,226.97,0.12
puerto natales,CL,0.5,0.5,0.33,42.92,0.01,247.0,0.59
bam,IR,18.93,52.59,25.36,66.52,3.1,327.11,0.83
port mathurin,MU,0.94,4.34,0.05,76.53,0.16,247.0,0.0
saint-philippe,RE,15.02,21.45,5.91,43.99,2.21,494.0,34.45
remire-montjoly,GF,0.58,2.38,0.19,26.46,0.12,330.45,0.01
ambikapur,IN,31.55,34.01,0.66,107.29,1.18,453.95,0.69
alice springs,AU,14.47,61.33,0.12,50.07,0.04,283.72,0.17
kujang-up,KP,43.69,49.98,2.31,51.5,2.65,353.81,0.31
tonj,SS,1.2,2.07,0.57,0.97,0.04,223.64,0.44
smithers,CA,0.5,0.61,1.91,40.77,0.26,226.97,0.17
northam,GB,1.16,4.58,0.31,77.96,0.33,211.95,0.02
novi di modena,IT,6.66,7.22,3.13,53.64,0.42,240.33,2.09
kokhma,RU,4.07,4.32,17.14,1.26,6.86,383.85,1.55
mahibadhoo,MV,1.07,4.05,0.02,39.7,0.1,220.3,0.0
florida,US,2.81,4.62,2.51,77.96,2.65,223.64,0.27
ca mau,VN,2.76,3.21,0.99,41.84,0.36,333.79,1.74
tralee,IE,1.72,3.28,0.49,85.83,0.27,205.28,0.34
fuling,CN,80.21,84.57,8.91,107.29,8.94,814.44,2.09
samamiya,NG,22.59,60.2,1.69,15.38,0.25,400.54,2.63
hamilton,US,23.04,27.24,66.49,0.13,1.16,680.92,1.36
belmonte,BR,1.98,8.61,0.28,30.4,0.08,280.38,0.09
kharabali,RU,11.7,24.16,0.17,54.36,0.09,223.64,0.12
iskateley,RU,0.5,0.65,0.36,40.05,0.02,223.64,0.0
caister-on-sea,GB,5.67,7.68,9.25,17.7,0.54,213.62,1.62
agbor,NG,29.89,39.2,5.66,2.5,0.41,894.55,0.55
cestos city,LR,3.05,3.68,0.25,2.91,0.05,260.35,0.32
tiksi,RU,0.5,0.53,0.02,86.55,0.01,240.33,0.0
kemijarvi,FI,2.58,3.39,0.72,63.66,0.63,213.62,0.06
vila franca do campo,PT,1.23,5.5,0.39,94.41,0.26,198.6,0.0
iqaluit,CA,0.5,1.8,0.02,71.53,0.0,226.97,0.0
talnakh,RU,0.5,0.55,0.64,72.24,3.52,253.68,0.01
puerto carreno,CO,2.01,2.04,3.09,10.28,0.19,347.14,0.78
garoua boulai,CM,0.53,0.61,0.05,0.94,0.01,250.34,0.05
ribeira grande,PT,2.29,12.21,0.24,104.43,0.22,198.6,0.0
alotau,PG,1.59,2.1,0.06,34.69,0.13,206.95,0.0
yellowknife,CA,0.5,0.5,0.05,50.07,0.0,216.96,0.0
acarau,BR,2.13,9.58,0.15,52.21,0.12,353.81,0.1
luderitz,NA,7.67,34.25,0.1,65.09,0.14,230.31,0.0
ancud,CL,0.55,1.1,0.21,49.35,0.04,240.33,0.19
hadibu,YE,3.79,14.86,0.71,19.67,0.3,230.31,0.04
guigang,CN,63.08,70.58,20.56,51.5,22.89,413.9,0.0
yuzhno-kurilsk,RU,1.47,2.82,0.38,98.71,0.52,213.62,0.08
nabire,ID,0.5,0.65,0.04,6.17,0.02,198.6,0.02
tazovsky,RU,0.5,1.55,0.23,65.09,0.03,230.31,0.0
saint john,CA,0.61,0.91,2.51,30.76,0.08,198.6,0.19
angra do heroismo,PT,2.19,10.61,0.27,100.14,0.24,201.94,0.0
alaghsas,NE,63.94,271.83,0.04,53.64,0.03,196.93,0.0
margaret river,AU,2.42,9.39,0.1,60.08,0.37,230.31,0.0
mount isa,AU,5.16,11.29,0.14,44.7,1.61,267.03,0.3
cannonvale,AU,2.53,8.42,1.2,88.69,2.41,223.64,0.0
vilyuchinsk,RU,0.5,0.64,0.11,66.52,0.07,223.64,0.0
vadso,NO,0.55,0.63,0.46,47.21,0.01,216.96,0.0
punta arenas,CL,0.5,0.51,0.25,41.13,0.02,226.97,0.33
ust-nera,RU,0.5,0.59,0.01,47.21,0.01,213.62,0.01
lihue,US,2.3,11.05,0.85,53.64,0.17,186.92,0.07
zaragoza,ES,0.5,0.69,0.87,67.23,0.08,203.61,0.95
guerrero negro,MX,1.84,4.52,1.17,86.55,0.73,203.61,0.0
usinsk,RU,0.5,0.51,0.24,51.5,0.02,226.97,0.0
nova vicosa,BR,1.63,7.01,0.35,38.27,0.07,293.73,0.1
al jawf,SA,11.06,39.23,0.99,101.57,1.74,193.6,0.5
