City,Country,PM2.5,PM10,NO2,O3,SO2,CO,NH3,MortalityRate_per_100k
keflavik,IS,0.5,0.7,0.2,62.9,0.3,220.3,0.1,3.6
kemijarvi,FI,2.6,3.4,0.7,63.7,0.6,213.6,0.1,3.5
kenai,US,0.5,0.7,1.4,66.5,0.6,237.0,0.0,5.7
kenora,CA,4.4,5.0,1.0,79.4,1.2,217.0,1.2,3.4
kertih,MY,5.0,5.2,4.0,59.4,0.8,417.2,0.1,20.9
khandyga,RU,0.5,0.5,0.0,50.1,0.0,240.3,0.0,17.4
kharabali,RU,11.7,24.2,0.2,54.4,0.1,223.6,0.1,17.4
kibre mengist,ET,6.8,12.7,2.2,17.0,0.5,257.0,8.9,17.1
kingisepp,RU,2.2,2.9,2.7,44.4,0.4,233.6,0.1,17.4
kingston,JM,18.5,24.0,28.4,0.3,11.6,1361.8,10.3,7.1
kirakira,SB,0.5,0.6,0.0,31.5,0.0,220.3,0.0,19.0
kisarawe,TZ,4.0,16.8,1.2,31.1,0.4,290.4,1.2,12.9
kismayo,SO,1.6,7.2,0.1,32.9,0.2,237.0,0.2,23.0
klyuchi,RU,5.5,6.1,1.3,23.6,0.2,250.3,0.5,17.4
knokke,BE,1.8,2.4,7.6,50.8,1.4,217.0,2.6,6.4
kodiak,US,0.5,0.9,0.2,78.0,0.2,223.6,0.0,5.7
kokhma,RU,4.1,4.3,17.1,1.3,6.9,383.8,1.6,17.4
kostomuksha,RU,1.5,2.1,1.1,56.5,0.2,213.6,0.0,17.4
kuchera,IN,54.7,82.8,12.7,61.5,2.4,480.6,11.6,30.2
kudymkar,RU,3.3,3.3,1.2,17.5,0.0,237.0,0.1,17.4
kujang-up,KP,43.7,50.0,2.3,51.5,2.6,353.8,0.3,36.1
kukuna,SL,4.0,4.9,0.8,1.2,0.1,340.5,0.3,34.8
kutum,SD,45.3,193.7,0.1,61.5,0.2,171.9,0.0,24.8
kuusamo,FI,1.9,2.4,0.6,61.5,0.4,210.3,0.1,3.5
la passe,FR,1.1,2.9,0.6,72.2,0.3,208.6,0.3,4.1
la ronge,CA,0.5,0.5,0.2,65.8,0.0,207.0,0.2,3.4
la'ie,US,2.7,11.2,0.1,62.9,0.1,186.9,0.0,5.7
labrador city,CA,0.5,0.7,0.1,65.1,0.0,210.3,0.0,3.4
lae,PG,0.9,1.0,1.7,34.7,2.6,191.9,0.0,12.4
lagos,NG,343.2,434.7,19.2,0.0,6.6,5020.1,12.4,29.6
laguna,US,2.0,2.1,1.7,85.8,0.1,220.3,0.3,5.7
lahad datu,MY,1.3,1.5,0.4,19.0,0.0,323.8,1.2,20.9
lajinha,BR,2.8,3.4,1.2,29.3,0.1,287.1,1.0,9.6
lampang,TH,29.0,30.3,3.5,47.2,4.4,433.9,0.0,10.0
lamu,KE,1.3,4.9,0.2,33.6,0.1,243.7,0.1,11.3
lapy,PL,1.2,1.4,1.3,52.2,0.6,220.3,0.8,17.4
lata,PT,2.4,6.9,3.0,48.6,0.8,208.6,0.4,4.7
lebu,CL,1.0,2.1,0.0,47.9,0.2,233.6,0.0,7.4
lerwick,GB,1.7,3.2,4.3,42.2,1.4,207.0,0.2,5.8
lihue,US,2.3,11.0,0.8,53.6,0.2,186.9,0.1,5.7
maba,CN,47.8,51.6,11.3,98.7,8.9,343.8,0.0,26.6
macapa,BR,2.2,8.0,0.3,23.6,0.1,410.6,0.1,9.6
magadan,RU,0.5,0.6,1.5,52.9,1.0,240.3,0.1,17.4
magburaka,SL,4.4,5.4,0.5,0.3,0.1,300.4,0.4,34.8
mahibadhoo,MV,1.1,4.0,0.0,39.7,0.1,220.3,0.0,11.0
maisi,GE,0.7,0.8,0.9,42.2,0.2,193.6,0.4,27.0
malabar,AU,10.4,11.2,10.7,85.8,10.4,283.7,1.1,3.2
mammoth lakes,US,1.5,1.8,0.4,80.8,0.1,161.9,0.2,5.7
maralal,KE,1.2,1.7,1.5,23.6,0.1,205.3,4.8,11.3
margaret river,AU,2.4,9.4,0.1,60.1,0.4,230.3,0.0,3.2
markovo,RU,0.5,0.5,0.2,60.8,0.2,227.0,0.0,17.4
marsa alam,EG,14.4,37.6,0.2,89.4,1.7,203.6,0.2,36.2
masaya sur,PH,6.4,7.5,2.9,39.0,0.7,347.1,4.0,29.4
masterton,NZ,0.9,1.2,0.3,56.5,0.1,205.3,1.2,4.3
mastic beach,US,3.0,4.4,17.5,57.2,1.7,307.1,0.9,5.7
