City,Country,PM2.5,PM10,NO2,O3,SO2,CO,NH3,MortalityRate_per_100k
arraial do cabo,BR,9.1,18.8,5.6,41.5,0.5,270.4,1.2,9.6
ataq,YE,42.1,165.7,1.0,55.8,1.1,203.6,0.2,36.5
aykhal,RU,0.5,0.5,0.0,57.2,0.0,223.6,0.0,17.4
badger,US,0.5,0.6,5.1,51.5,1.1,257.0,0.2,5.7
balabac,PH,0.8,1.3,0.3,47.9,0.1,393.9,0.0,29.4
ballina,AU,2.6,6.3,0.8,66.5,1.1,230.3,0.7,3.2
bam,IR,18.9,52.6,25.4,66.5,3.1,327.1,0.8,17.1
bamboo flat,IN,0.6,0.9,1.2,44.4,0.2,230.3,0.0,30.2
banjarmasin,ID,9.0,10.5,1.4,72.2,5.0,514.0,1.3,20.4
barclayville,LR,2.4,3.2,0.3,8.3,0.1,300.4,0.5,22.4
bathurst,AU,2.0,2.1,0.1,32.5,0.2,250.3,0.1,3.2
bayt al faqih,YE,52.2,125.8,2.5,50.8,2.4,210.3,0.3,36.5
beeville,US,4.2,7.1,0.7,90.8,0.6,217.0,0.7,5.7
belmonte,BR,2.0,8.6,0.3,30.4,0.1,280.4,0.1,9.6
belyy yar,RU,2.6,3.0,3.4,36.1,1.9,263.7,1.1,17.4
bennington,US,0.8,1.0,3.5,53.6,0.0,213.6,0.1,5.7
berdigestyakh,RU,0.5,0.5,0.2,52.2,0.0,230.3,0.0,17.4
bereznik,RU,0.7,0.8,0.6,50.1,0.1,220.3,0.0,17.4
berriozabal,MX,4.8,4.9,1.3,26.5,0.1,260.4,0.3,10.7
bethel,US,1.4,1.9,4.5,74.4,0.3,227.0,0.4,5.7
betioky,MG,3.0,4.7,0.4,35.8,0.1,240.3,0.8,21.1
beyneu,KZ,14.8,43.2,0.2,64.4,0.6,223.6,0.1,30.5
big bend,SZ,5.0,13.4,1.4,28.2,0.2,323.8,0.6,26.0
bilibino,RU,0.5,0.5,0.1,60.8,0.1,220.3,0.0,17.4
biloela,AU,2.1,6.3,0.1,56.5,0.7,223.6,0.0,3.2
blackmans bay,AU,1.9,2.1,1.0,43.3,0.2,213.6,0.2,3.2
bodaybo,RU,0.5,0.5,0.0,62.9,0.0,223.6,0.0,17.4
bodo,NO,1.0,1.4,1.2,72.2,0.4,233.6,0.0,3.6
bondoukou,CI,5.6,6.2,0.9,8.8,0.0,433.9,0.2,32.9
bredasdorp,ZA,0.8,2.2,0.5,55.1,0.2,230.3,0.2,18.7
brisas de zicatela,MX,6.9,7.6,3.7,14.5,0.3,243.7,0.8,10.7
broken hill,AU,1.9,4.5,0.1,55.8,0.6,287.1,0.2,3.2
brookings,US,4.8,5.4,1.8,90.8,0.8,220.3,1.8,5.7
bure,ET,21.5,44.0,3.2,39.3,1.0,360.5,10.3,17.1
burutu,NG,0.8,1.2,0.8,23.6,0.1,343.8,0.3,29.6
bushehr,IR,77.3,137.1,12.5,97.3,5.5,534.1,0.6,17.1
ca mau,VN,2.8,3.2,1.0,41.8,0.4,333.8,1.7,18.8
cabo san lucas,MX,2.1,6.2,2.7,64.4,0.4,198.6,1.2,10.7
cabugao,PH,3.8,4.4,0.4,64.4,0.3,250.3,1.9,29.4
cadale,SO,2.0,9.2,0.0,35.4,0.1,230.3,0.0,23.0
caister-on-sea,GB,5.7,7.7,9.2,17.7,0.5,213.6,1.6,5.8
callao,PE,14.8,27.1,26.7,22.9,16.9,480.6,3.4,9.6
campoverde,PE,10.9,11.4,0.4,3.1,0.1,303.8,0.3,9.6
canmore,CA,0.5,0.5,0.6,68.0,0.1,188.6,0.0,3.4
cannonvale,AU,2.5,8.4,1.2,88.7,2.4,223.6,0.0,3.2
carnarvon,AU,3.4,17.4,0.0,37.2,0.1,230.3,0.5,3.2
cartagena,CO,5.1,6.5,2.9,68.0,0.8,327.1,0.1,8.9
casper,US,1.1,6.2,1.8,73.7,0.3,185.2,0.7,5.7
castillos,UY,2.4,3.4,1.6,19.3,0.1,240.3,3.1,6.4
cestos city,LR,3.0,3.7,0.2,2.9,0.0,260.4,0.3,22.4
cheria,DZ,1.7,3.5,0.6,61.5,0.1,191.9,0.1,16.6
childress,US,5.0,5.9,1.0,89.4,0.9,220.3,1.0,5.7
chimore,BO,18.7,18.9,0.8,0.6,0.0,654.2,0.6,18.7
chonchi,CL,0.8,1.1,0.7,19.1,0.0,210.3,0.2,7.4
cidade velha,CV,10.8,68.4,0.3,52.2,0.4,203.6,0.1,17.1
cidreira,BR,2.2,4.3,1.1,50.8,0.2,247.0,0.4,9.6
ciudad lazaro cardenas,MX,21.2,23.2,18.2,31.1,13.2,514.0,0.6,10.7
clanton,US,3.1,6.0,9.3,34.0,1.1,257.0,0.5,5.7
clovis,US,5.4,6.2,1.4,111.6,0.7,223.6,0.8,5.7
codrington,AU,1.5,1.7,1.1,31.5,1.0,293.7,0.1,3.2
coffs harbour,AU,2.6,5.0,0.4,46.5,0.3,210.3,0.2,3.2
cole harbour,CA,0.7,1.0,2.6,68.0,0.8,220.3,0.2,3.4
college,US,0.5,0.6,1.8,56.5,0.0,233.6,0.0,5.7
colonia,DE,19.4,22.0,13.9,0.0,4.0,363.8,1.7,6.9
conceicao da barra,BR,1.9,7.2,0.7,32.2,0.1,283.7,0.2,9.6
constantia,RO,0.8,1.1,1.7,65.8,1.5,223.6,0.8,18.5
copiapo,CL,14.4,32.7,4.0,56.5,2.9,287.1,0.0,7.4
