Country,Year,MortalityRate_per_100k
UNSDG_LAC,2019,0.04249
UNSDG_EUROPENORTHERNAMR,2019,0.73228
ALB,2019,0.85338
143,2019,0.64814
MDA,2019,2.65907
UNSDG_EUROPENORTHERNAMR,2019,0.00287
VUT,2019,0.04275
RUS,2019,2.29822
MDV,2019,2.77493
35,2019,0.95333
15,2019,0.05868
UNSDG_EUROPENORTHERNAMR,2019,0.4301
CUB,2019,4.18465
GRD,2019,1.12165
DZA,2019,0.92289
35,2019,2.20269
30,2019,2.67387
HND,2019,4.02222
419,2019,1.53045
COD,2019,0.14507
202,2019,0.03099
UNSDG_CENTRALASIASOUTHERNASIA,2019,2.26283
WB_LIMI,2019,0.00896
34,2019,0.05597
IDN,2019,3.4453
GRC,2019,73.63147
202,2019,0.91389
UNSDG_SUBSAHARANAFRICA,2019,0.0095
AFR,2019,0.00092
UNSDG_WESTERNASIANORTHERNAFR,2019,0.55726
15,2019,3.30691
PER,2019,9.76016
34,2019,3.10219
UNSDG_LAC,2019,0.17512
AMR,2019,8.51193
OMN,2019,6.83996
NGA,2019,0.16299
UNSDG_WESTERNASIANORTHERNAFR,2019,0.02851
BEN,2019,40.51914
KHM,2019,12.50545
WPR,2019,0.07833
VNM,2019,21.73837
AFR,2019,0.05433
21,2019,0.00039
202,2019,0.05471
GMB,2019,35.14861
WB_HI,2019,0.17763
SDN,2019,0.9861
EUR,2019,0.13718
WB_LIMI,2019,0.27638
WB_LIMI,2019,0.48727
BGR,2019,1.68744
UNSDG_EASTERNASIASOUTHEASTERNASIA,2019,1.6819
21,2019,0.98463
BLR,2019,109.04723
GNB,2019,15.63206
GRD,2019,21.0747
EMR,2019,0.14888
AZE,2019,3.19361
HRV,2019,3.84497
CHE,2019,2.41705
WB_LIMI,2019,0.04958
34,2019,0.2867
GRD,2019,8.54635
EUR,2019,2.83721
WB_LIMI,2019,0.51083
34,2019,0.0474
EUR,2019,0.26908
WPR,2019,0.14834
MEX,2019,2.87508
202,2019,0.82578
AFR,2019,0.77945
ZWE,2019,8.89204
9,2019,7.80322
9,2019,1.87092
WPR,2019,0.16488
UNSDG_OCEANIAexAUSNZL,2019,1.47351
9,2019,0.1886
UNSDG_CENTRALASIASOUTHERNASIA,2019,0.70797
UNSDG_OCEANIAexAUSNZL,2019,2.13247
GLOBAL,2019,0.82252
CHL,2019,6.46762
9,2019,10.9706
IRL,2019,16.25093
NER,2019,19.40661
TCD,2019,46.63709
143,2019,1.73421
PAK,2019,29.68711
RUS,2019,1.09084
WPR,2019,0.04833
UNSDG_CENTRALASIASOUTHERNASIA,2019,0.11761
AMR,2019,0.20639
UNSDG_LAC,2019,0.0987
OMN,2019,5.39791
UNSDG_LAC,2019,0.15768
202,2019,0.31887
UNSDG_OCEANIAexAUSNZL,2019,0.12827
UNSDG_EASTERNASIASOUTHEASTERNASIA,2019,0.00679
GRC,2019,16.80803
MWI,2019,5.09071
GLOBAL,2019,0.42757
GLOBAL,2019,0.255
143,2019,64.2656
UNSDG_EASTERNASIASOUTHEASTERNASIA,2019,0.36701
EST,2019,0.45087
UNSDG_OCEANIAexAUSNZL,2019,0.49291
EMR,2019,8.14405
HTI,2019,5.3616
35,2019,0.10858
419,2019,0.00213
UNSDG_WESTERNASIANORTHERNAFR,2019,0.20765
UNSDG_AUSTRALIANEWZEALAND,2019,0.01288
UNSDG_AUSTRALIANEWZEALAND,2019,0.03725
SEAR,2019,0.17576
AMR,2019,0.26763
MNE,2019,104.95204
CUB,2019,9.01472
9,2019,1.32527
GLOBAL,2019,0.23045
34,2019,1.65487
UNSDG_OCEANIAexAUSNZL,2019,0.42788
419,2019,0.35718
145,2019,0.14701
AZE,2019,18.48981
150,2019,0.03415
BOL,2019,1.14664
143,2019,0.08074
SEAR,2019,0.31681
UNSDG_LAC,2019,0.0205
WB_HI,2019,0.22463
USA,2019,1.09028
15,2019,1.15234
CAN,2019,10.76691
UNSDG_SUBSAHARANAFRICA,2019,0.78652
MYS,2019,16.13545
WB_LIMI,2019,0.28256
UNSDG_AUSTRALIANEWZEALAND,2019,1.35687
150,2019,3.80696
NER,2019,2.07266
419,2019,0.00282
TTO,2019,13.93184
TZA,2019,5.83196
AMR,2019,1.91182
EUR,2019,0.31173
202,2019,0.04824
PER,2019,1.33079
150,2019,0.9966
UNSDG_OCEANIAexAUSNZL,2019,0.61993
WB_LIMI,2019,0.18821
IRN,2019,21.58063
TCD,2019,26.45719
UNSDG_CENTRALASIASOUTHERNASIA,2019,1.72929
GLOBAL,2019,0.01363
TKM,2019,0.39221
UNSDG_EUROPENORTHERNAMR,2019,0.40935
UNSDG_EUROPENORTHERNAMR,2019,50.13471
MAR,2019,52.92563
UNSDG_SUBSAHARANAFRICA,2019,0.012
VNM,2019,3.91555
419,2019,0.09666
AFG,2019,29.45344
GLOBAL,2019,0.46462
21,2019,0.00156
MDA,2019,84.04934
UNSDG_OCEANIAexAUSNZL,2019,0.44124
UNSDG_AUSTRALIANEWZEALAND,2019,0.02082
BEN,2019,0.07579
ALB,2019,105.3802
30,2019,0.02377
BHS,2019,8.16066
MEX,2019,3.36059
WB_LIMI,2019,0.77847
9,2019,0.13767
UNSDG_AUSTRALIANEWZEALAND,2019,0.15187
21,2019,0.00749
UNSDG_AUSTRALIANEWZEALAND,2019,0.00141
UNSDG_OCEANIAexAUSNZL,2019,0.0502
TCD,2019,0.08298
UZB,2019,11.84603
9,2019,0.36222
TJK,2019,3.25612
UNSDG_CENTRALASIASOUTHERNASIA,2019,0.35243
15,2019,0.0697
IND,2019,9.81656
KGZ,2019,9.88842
UKR,2019,0.68725
SLE,2019,49.12386
AFR,2019,9.01378
21,2019,0.32114
SWZ,2019,3.64185
UNSDG_AUSTRALIANEWZEALAND,2019,0.04654
LAO,2019,15.18972
21,2019,1.19572
AZE,2019,101.06402
SSD,2019,3.89334
UNSDG_LAC,2019,0.13176
WB_LIMI,2019,0.73476
GLOBAL,2019,0.02334
NOR,2019,2.13601
143,2019,0.15225
CRI,2019,9.85169
UNSDG_SUBSAHARANAFRICA,2019,0.27389
21,2019,0.00448
9,2019,0.27442
PNG,2019,1.92626
LUX,2019,25.56077
WPR,2019,0.84453
TTO,2019,5.11417
30,2019,0.06162
150,2019,2.51487
