Country,Year,MortalityRate_per_100k
POL,2019,2.982
CUB,2019,2.87
MUS,2019,0.465
TJK,2013,14.072
CHN,2014,4.47
BRB,2010,7.699
AUS,2012,6.769
DZA,2012,1.978
IRN,2013,1.613
DOM,2010,28.03
MOZ,2017,21.096
STP,2016,7.394
IND,2017,37.427
PRK,2012,8.106
GLOBAL,2012,10.216
PRK,2011,10.856
AFR,2013,62.944
MRT,2013,59.756
TGO,2016,0.159
BGR,2019,1.243
QAT,2018,66.107
URY,2013,1.65
WPR,2014,9.441
NOR,2019,9.427
NGA,2010,0.363
FRA,2011,2.364
MYS,2017,60.436
KEN,2014,12.826
AGO,2012,19.135
DOM,2010,1.526
HRV,2018,5.911
ITA,2015,3.828
KAZ,2014,26.472
GEO,2014,3.838
EUR,2011,47.235
KEN,2012,10.956
BRA,2019,3.844
CHE,2017,1.489
JAM,2011,1.703
COD,2016,16.346
UGA,2010,10.222
SVN,2016,10.414
KOR,2010,10.739
ARM,2016,7.237
GBR,2016,2.027
OMN,2017,21.312
GAB,2011,21.666
THA,2010,6.965
BFA,2014,17.612
DOM,2015,0.654
MNG,2012,40.492
AFG,2017,142.569
BRN,2019,1.202
TUN,2015,10.989
ARG,2013,8.294
SDN,2014,8.486
ISL,2010,16.665
TJK,2010,42.374
UKR,2012,1.525
BEL,2010,16.485
GBR,2017,10.732
CMR,2014,29.122
RWA,2012,0.73
CIV,2018,70.512
TGO,2013,46.283
EGY,2019,0.976
POL,2013,73.023
LBY,2019,1.694
SGP,2010,18.78
URY,2015,14.856
AFR,2011,0.464
DEU,2018,11.578
BOL,2011,5.991
CIV,2011,24.822
GMB,2015,19.821
STP,2010,3.008
MKD,2013,26.906
SRB,2014,65.654
GRD,2011,22.384
BWA,2010,27.033
TZA,2017,0.067
GHA,2013,0.231
GTM,2016,20.498
ZMB,2012,2.292
GLOBAL,2010,28.887
LTU,2015,2.141
AGO,2013,18.142
RWA,2016,17.068
ISL,2016,0.688
ESP,2015,0.485
IDN,2013,6.59
MOZ,2019,21.025
CZE,2014,30.513
CPV,2012,1.227
EGY,2017,74.611
ATG,2014,0.096
COG,2014,4.634
PRT,2012,12.496
ZWE,2017,9.025
CHL,2016,6.18
GIN,2012,29.267
PRT,2014,3.316
KWT,2015,2.095
BHS,2012,5.345
AMR,2011,14.94
QAT,2011,82.888
VCT,2015,25.245
DZA,2011,3.807
SVN,2015,0.829
SOM,2015,67.663
JPN,2016,10.33
LCA,2014,0.524
NLD,2010,1.751
SEN,2013,22.901
ZAF,2016,12.02
CHN,2010,18.528
TCD,2017,43.961
DJI,2014,4.242
NOR,2010,17.808
MDA,2010,3.141
FIN,2012,1.591
LCA,2011,5.592
TUR,2016,3.102
MUS,2018,4.0
COL,2012,0.609
AUT,2019,1.313
NER,2016,22.627
DEU,2015,1.006
AMR,2018,0.969
GLOBAL,2018,50.417
PNG,2012,30.054
CHL,2013,7.364
LAO,2011,60.88
URY,2014,3.411
BTN,2014,66.088
BFA,2015,94.508
CIV,2018,3.141
DOM,2013,0.24
GNB,2015,41.306
ZWE,2016,20.125
GBR,2017,14.842
WSM,2012,7.006
FRA,2010,2.401
UKR,2016,7.691
BFA,2018,26.565
ESP,2013,0.852
SUR,2010,24.782
GMB,2016,33.168
BRA,2013,7.318
LUX,2012,9.946
GLOBAL,2012,55.764
UGA,2010,15.994
DZA,2018,4.016
MYS,2017,0.742
VEN,2011,25.195
TZA,2011,10.478
PRY,2014,0.315
LVA,2016,8.767
MDG,2016,18.088
TLS,2011,64.598
NGA,2016,91.18
COL,2011,3.102
KWT,2014,0.709
BOL,2014,6.256
KIR,2019,4.475
COM,2015,45.154
MLI,2014,25.22
FRA,2019,1.257
SVK,2012,2.489
DZA,2015,1.984
STP,2012,16.058
UKR,2011,64.827
SAU,2019,80.45
IND,2017,28.963
PER,2013,4.089
BFA,2018,0.832
SAU,2010,24.935
LUX,2010,1.193
KHM,2019,13.824
GNB,2012,26.672
AZE,2015,24.991
NER,2014,21.489
BOL,2010,24.541
MLT,2017,2.26
GIN,2015,0.333
SAU,2011,120.749
JOR,2015,18.274
SAU,2015,68.557
CIV,2018,24.733
MDA,2010,80.627
BRB,2017,0.31
IDN,2014,4.273
HTI,2018,3.557
LUX,2016,10.395
CYP,2018,2.378
VUT,2015,28.844
KEN,2014,0.171
BEN,2011,101.572
LKA,2018,0.675
DEU,2011,19.036
BWA,2018,0.413
PRY,2018,5.183
LUX,2015,1.782
LTU,2013,0.423
KWT,2019,1.852
COG,2016,70.711
KGZ,2012,32.658
JOR,2017,3.304
MMR,2011,1.46
UGA,2014,64.767
CHL,2014,22.419
BRA,2011,0.921
SEAR,2015,11.321
PER,2010,10.585
ZAF,2013,22.134
FJI,2019,5.617
NPL,2011,66.287
ROU,2012,17.799
HTI,2017,8.526
SLE,2010,37.535
ISR,2015,2.672
BGR,2016,18.033
MNG,2010,6.642
MDG,2010,19.34
SLB,2017,3.717
THA,2013,2.605
MDV,2014,1.142
MDV,2010,7.34
CIV,2012,8.736
RWA,2012,18.432
MDA,2019,0.712
FRA,2011,0.979
NPL,2011,31.977
JAM,2015,2.693
HRV,2016,46.342
GIN,2014,0.183
NAM,2017,46.006
AZE,2014,26.866
LTU,2011,3.304
ZWE,2016,26.808
TGO,2013,24.987
BOL,2010,10.035
ZAF,2016,17.046
AUT,2013,17.699
ZWE,2017,25.701
SWE,2017,6.141
RWA,2012,58.314
ROU,2010,4.426
GLOBAL,2011,18.624
AUS,2010,1.823
KHM,2017,6.842
SOM,2015,15.9
TUR,2017,1.127
CHE,2018,11.532
BTN,2018,6.896
LSO,2010,136.614
ARM,2017,3.562
ARG,2014,3.985
MMR,2018,1.487
PRY,2011,0.96
UGA,2019,0.425
ARE,2010,10.547
FIN,2012,0.116
KGZ,2017,4.458
AFR,2012,0.72
OMN,2010,3.813
YEM,2013,0.812
COM,2011,15.418
IRQ,2018,72.781
AZE,2013,6.333
YEM,2012,22.622
NIC,2014,0.465
ZAF,2012,2.91
SWE,2018,7.79
SYR,2019,66.574
ROU,2016,2.028
MAR,2016,10.594
SVK,2014,46.385
ARG,2011,5.516
DJI,2013,0.297
DJI,2012,24.186
DZA,2011,51.161
ARG,2013,16.506
NOR,2011,1.254
CMR,2015,44.639
SGP,2016,2.087
CHL,2011,1.684
DZA,2018,44.135
AUS,2019,1.405
ERI,2014,0.297
ZAF,2015,55.183
LKA,2011,27.166
DEU,2012,1.929
GUY,2010,15.098
MAR,2013,64.524
AFR,2017,20.919
NOR,2011,0.867
ECU,2013,10.017
GRC,2015,10.873
RUS,2014,11.601
LAO,2010,25.63
GUY,2011,25.981
UZB,2016,102.211
ESP,2019,10.124
SEAR,2017,76.878
ZAF,2012,22.848
WPR,2016,14.876
GNB,2011,87.892
TUR,2017,21.584
NZL,2016,1.516
AZE,2017,107.928
TUN,2015,1.598
SUR,2017,0.639
BOL,2018,0.949
BWA,2017,0.419
LAO,2017,12.287
SUR,2019,50.635
SLB,2012,7.578
RWA,2013,64.07
BOL,2018,25.013
LKA,2011,34.84
ZWE,2019,13.706
TTO,2018,1.081
MWI,2017,14.217
BGD,2012,62.457
URY,2015,4.253
ERI,2012,109.829
NLD,2013,21.72
TUR,2013,7.757
VCT,2016,0.257
SYC,2019,55.78
FRA,2017,1.183
SLV,2011,0.78
TKM,2017,23.673
BEL,2018,1.791
JPN,2012,0.555
MDV,2016,3.862
COD,2012,39.847
UKR,2017,49.601
GMB,2015,4.308
VCT,2018,0.227
SWE,2019,0.258
SYC,2019,3.997
LBN,2018,58.651
IND,2019,28.813
BEN,2016,31.324
VEN,2010,7.104
TUN,2014,11.34
OMN,2015,0.782
SEN,2010,3.437
PNG,2016,37.473
VEN,2018,6.365
IDN,2019,3.875
ARE,2018,12.25
AFG,2018,90.646
CPV,2012,9.794
QAT,2014,4.681
NAM,2019,2.191
GUY,2017,0.178
EGY,2012,15.702
CHE,2013,0.918
LTU,2014,1.188
KOR,2015,6.919
SSD,2011,44.356
JOR,2013,0.942
TLS,2018,16.405
GMB,2019,34.632
WSM,2010,2.578
KIR,2016,2.812
CIV,2017,0.456
SLB,2011,43.841
IRQ,2015,21.417
LSO,2015,17.094
GNQ,2018,14.201
AUT,2019,1.837
CPV,2010,2.122
LKA,2017,8.153
USA,2011,1.843
WSM,2011,6.321
MOZ,2012,1.878
DEU,2013,2.568
AUS,2012,0.43
QAT,2013,2.622
ATG,2016,12.069
HUN,2011,4.637
IRL,2012,1.101
MWI,2011,26.368
BIH,2010,2.503
SAU,2015,22.378
DEU,2019,21.072
MDG,2017,16.253
ESP,2010,2.703
BEN,2019,4.521
SVK,2016,2.624
FIN,2018,0.999
IDN,2018,4.516
MDV,2019,1.115
NER,2015,22.47
NER,2019,31.847
CRI,2016,24.37
MLI,2016,27.509
CPV,2014,53.675
CRI,2014,2.917
CAF,2014,29.335
SLV,2019,25.035
GHA,2019,23.095
CHE,2015,1.383
ARM,2010,3.668
EUR,2010,10.177
LCA,2013,0.263
SWE,2010,8.251
SVK,2010,66.838
AUS,2014,0.372
CYP,2011,31.51
ERI,2010,47.311
AGO,2010,0.35
ESP,2017,1.795
NOR,2014,1.28
BRA,2010,6.597
NGA,2018,33.195
URY,2010,4.676
GUY,2018,2.232
CAN,2015,0.811
FSM,2013,0.817
IRN,2016,4.158
POL,2017,30.423
ECU,2012,0.648
BRB,2015,3.466
FRA,2015,6.262
AZE,2019,134.918
DNK,2014,18.588
YEM,2014,12.181
BRN,2018,0.524
JPN,2012,6.763
AFG,2010,1.619
VEN,2017,16.132
TON,2017,1.236
BEL,2019,0.852
EMR,2013,111.923
BTN,2011,16.179
DJI,2011,1.961
MLT,2011,4.399
ISR,2015,1.237
CPV,2019,16.388
SWZ,2019,25.792
NAM,2014,2.358
LAO,2013,28.902
CRI,2012,26.172
BOL,2017,22.442
BGD,2011,19.301
AFR,2019,22.907
MYS,2014,4.3
ECU,2013,6.227
BLZ,2017,25.838
NZL,2013,0.592
BLR,2010,0.822
ARG,2015,4.237
ATG,2016,0.369
LCA,2015,2.326
ISR,2017,2.723
KWT,2014,23.814
AFR,2011,16.115
CYP,2010,0.998
CPV,2016,1.05
BDI,2010,5.168
GTM,2018,17.083
MDV,2011,17.655
GBR,2011,2.93
LUX,2016,0.8
GBR,2015,13.695
RWA,2015,20.14
TTO,2012,1.998
EMR,2016,79.294
KOR,2017,15.163
TON,2019,3.897
PER,2012,1.184
COL,2018,0.657
LCA,2015,6.053
ETH,2015,49.472
ROU,2011,4.57
GLOBAL,2014,13.534
DZA,2017,49.091
BDI,2017,25.102
ZWE,2012,10.309
BEL,2017,8.792
JOR,2018,19.113
COL,2019,3.244
TUN,2015,2.304
UZB,2010,2.375
GNB,2014,35.49
KWT,2012,6.931
GAB,2011,3.931
ZWE,2014,2.257
KGZ,2011,88.24
TUR,2012,6.777
PNG,2015,19.202
AFG,2014,2.501
SDN,2019,14.569
TON,2011,33.373
EUR,2012,2.398
LBY,2012,0.328
SOM,2012,89.848
IND,2010,28.018
BOL,2012,24.509
ERI,2010,8.668
KHM,2010,16.621
BEL,2010,2.055
NPL,2014,30.874
MLT,2015,15.153
QAT,2011,9.894
KOR,2012,5.57
BEL,2014,2.933
TON,2016,4.013
SYR,2018,4.857
ARE,2015,1.312
ALB,2016,2.16
MDA,2014,0.536
CAF,2011,26.798
ATG,2017,4.718
EST,2019,8.7
NGA,2011,93.47
FSM,2010,2.752
TJK,2011,18.991
CHN,2014,25.5
BGD,2018,25.099
ESP,2012,9.769
NAM,2018,0.172
KIR,2016,37.094
BLZ,2012,3.142
TJK,2013,17.835
MOZ,2015,25.962
MMR,2013,97.205
THA,2018,28.581
JPN,2012,0.815
SWE,2017,0.622
LBY,2012,8.1
BRA,2011,26.815
CUB,2013,34.482
GHA,2015,27.477
SYC,2014,1.735
SDN,2017,53.986
CHL,2015,21.653
SGP,2017,0.151
CHE,2010,1.313
LCA,2019,0.68
ISR,2019,15.115
MUS,2018,2.803
GIN,2016,0.194
SWZ,2012,11.754
BHS,2015,9.277
RWA,2013,20.493
AUS,2019,0.71
GBR,2017,11.62
YEM,2019,22.227
DJI,2010,16.755
PRY,2011,2.852
BRA,2014,28.43
SEN,2015,6.6
LAO,2019,3.133
TON,2016,34.493
ARM,2014,1.369
TUN,2019,9.705
KEN,2014,8.588
AFG,2019,1.535
ARG,2011,4.52
KOR,2015,3.699
WSM,2014,7.043
WPR,2016,30.982
HND,2018,12.114
NIC,2018,45.986
MLT,2017,1.806
SOM,2014,18.419
QAT,2010,5.984
CAN,2013,8.307
SYC,2019,1.695
GLOBAL,2011,7.981
TJK,2017,1.732
UZB,2019,2.013
CZE,2014,3.494
PNG,2018,3.778
BEN,2015,27.908
EUR,2010,64.311
CUB,2018,14.455
MNE,2018,3.604
MNE,2014,3.625
CHE,2010,0.943
CYP,2011,1.46
IRQ,2018,101.292
LBN,2011,2.524
NLD,2013,1.243
ZMB,2012,76.686
LBR,2011,26.685
SVN,2013,19.145
VUT,2015,11.299
NZL,2018,1.07
GNB,2019,111.087
UGA,2016,0.688
TJK,2019,105.557
ETH,2016,55.951
